,0
19,0.0974798136799416
22,0.0930492057038714
24,0.08881997569823998
28,0.08478297072349658
33,0.08092945385531912
39,0.07725108527607998
48,0.07373990422573387
58,0.07038831177306573
68,0.06718905437001191
79,0.06413520815346292
86,0.06122016396057351
97,0.05843761302514988
115,0.05578153332415831
130,0.053246176544805984
150,0.0508260556439881
165,0.04851593297317735
197,0.04631080894305543
219,0.04420591120335462
260,0.04219668431449223
286,0.040278779888645186
315,0.03844804717892798
344,0.036700524096307086
380,0.03503242863481038
412,0.03344015068647409
443,0.031920244228313015
475,0.030469419864405007
516,0.029084537706949225
558,0.027762600580891306
587,0.026500747537408734
618,0.025296247662218406
652,0.02414649416530611
680,0.023048998739286928
733,0.022001386174186895
766,0.021001389216991115
800,0.020046843664833353
838,0.019135683681207747
862,0.018265937325065897
914,0.017435722283123442
965,0.016643241796139834
983,0.015886780770355012
1013,0.01516470206566728
1039,0.014475442952519228
1083,0.013817511729823652
1120,0.013189484496609956
1143,0.012590002070404222
1171,0.012017767045673644
1214,0.011471540985969227
1263,0.0109501417436899
1288,0.010452440901667519
1316,0.009977361331035758
1346,0.009523874860097646
1384,0.00909100004914665
1395,0.008677800066425592
1402,0.00828338066062651
1434,0.007906888225543519
1440,0.007547507952690193
1457,0.007204462067883343
1477,0.006877008147976771
1514,0.006564437514102084
1533,0.00626607369793919
1548,0.005981270977697166
1611,0.0057094129806370495
1618,0.005449911349112138
1655,0.005202204467238805
1694,0.0049657562454421
1734,0.00474005496024562
1759,0.004524612146794727
1781,0.004318961541716296
1820,0.004122658074027106
1848,0.003935276901907023
1859,0.0037564124932523125
1899,0.003585677748019227
1915,0.003422703160458434
1939,0.0032671360194271803
1972,0.0031186396450485028
2039,0.0029768926600654585
2079,0.002841588294313425
2132,0.0027124337208052135
2172,0.0025891494219921324
2199,0.0024714685848294697
2196,0.002359136523337178
2262,0.0022519101274060677
2355,0.002149557336656616
2399,0.002051856638211695
2403,0.001958596587296313
2484,0.0018695753496268308
2502,0.0017846002645993003
2562,0.0017034874283315628
2609,0.0016260612956567298
2728,0.0015521543002066738
2743,0.0014816064917633094
2696,0.0014142651900928215
2767,0.0013499846545136582
2898,0.0012886257684831717
3027,0.0012300557385202815
3123,0.0011741478068125674
3081,0.0011207809768858134
3188,0.0010698397517422957
3190,0.0010212138839010882
3296,0.0009747981367994211
