,0
19,0.10969125275326552
20,0.10470561602493272
20,0.09994658418042612
22,0.09540385767804785
29,0.09106760510616584
34,0.08692844190597995
42,0.08297741006137106
49,0.07920595871187788
55,0.07560592564684399
61,0.07216951964068431
62,0.06888930359104113
67,0.06575817842333685
71,0.06276936772688971
84,0.0599164030893417
92,0.05719311009765947
114,0.054593594975411205
119,0.052112231827400025
141,0.049743650464048404
162,0.04748272477918314
182,0.04532456165606789
219,0.04326449037767374
249,0.04129805251826924
290,0.039420992294453276
316,0.03762924735474843
335,0.035918939987821516
367,0.034286368730304065
405,0.032728000356050314
451,0.031240462229495784
481,0.029820535006567523
512,0.028465145667349222
567,0.027171360865422493
601,0.025936380579490794
635,0.024757532053546902
677,0.023632264012469085
729,0.022558141140527368
770,0.021532838810850222
796,0.02055413805444512
834,0.019619920757884865
877,0.01872816507926648
913,0.017876941072521874
958,0.017064406510610308
990,0.016288802898553223
1026,0.015548451667682789
1079,0.014841750542867727
1108,0.014167170074854326
1150,0.013523250330217918
1160,0.01290859773176115
1191,0.012321882042521059
1230,0.011761833486857644
1271,0.011227240002393443
1311,0.010716944616856667
1346,0.010229842944150882
1364,0.009764880794232178
1376,0.00932105189162111
1403,0.0088973956976118
1442,0.008492995331464985
1475,0.008106975586086064
1481,0.007738501033893621
1520,0.007386774218779164
1557,0.007051033930245076
1580,0.006730553555985663
1608,0.006424639509345934
1622,0.006132629728254804
1638,0.005853892242384106
1660,0.005587823805432431
1684,0.005333848589573783
1708,0.005091416939245556
1761,0.004860004181578764
1808,0.004639109490896069
1822,0.004428254804820109
1852,0.004226983789646387
1874,0.004034860852741548
1882,0.0038514701998296967
1887,0.0036764149351264826
1909,0.003509316202373501
1951,0.0033498123649139937
1994,0.0031975582230353815
2040,0.00305222426688478
2059,0.0029134959633406645
2128,0.0027810730752973146
2149,0.0026546690118888325
2204,0.002534010208246481
2261,0.002418835533447011
2297,0.0023088957253706486
2331,0.0022039528512456585
2392,0.002103779792711992
2386,0.002008159754289585
2410,0.0019168857941875316
2466,0.0018297603764387022
2430,0.00174659494339054
2518,0.0016672095076268032
2623,0.0015914322624371014
2670,0.001519099209991186
2713,0.0014500538064132979
2761,0.0013841466229884314
2737,0.001321235022767297
2835,0.0012611828518700864
2945,0.0012038601448209614
2998,0.0011491428432755407
3079,0.0010969125275326593
