,0
19,0.12755869830444627
21,0.12176095860030174
21,0.1162267351135835
21,0.11094405062551493
24,0.10590147230039768
38,0.10108808694256056
40,0.0964934773779185
40,0.0921076999090257
45,0.08792126279483184
52,0.08392510570856626
55,0.08011058012929322
65,0.07646943062470103
74,0.07299377698461755
80,0.06967609716658478
93,0.0665092110165835
97,0.06348626472967603
119,0.060600716016936874
147,0.057846319946569184
154,0.055217115428564285
174,0.05270741231365439
193,0.05031177907863775
207,0.04802503107142481
225,0.04584221929036519
231,0.04375861967357145
264,0.0417697228750598
292,0.03987122450558084
327,0.03805901581701968
372,0.03632917481020447
412,0.034677957746878665
434,0.03310179104746732
459,0.03159726355710245
482,0.030161119163169357
519,0.028790249748396973
545,0.027481688464241087
578,0.02623260331000266
613,0.02504029100378516
655,0.02390217113202633
693,0.022815780564942777
746,0.021778768125801196
779,0.02078888950247948
811,0.01984400239030519
849,0.018942061855659564
864,0.018081115910312837
900,0.017259301286912852
953,0.016474839406484268
990,0.015726032529211124
1027,0.015011260080172277
1086,0.014328975142077847
1100,0.013677701107416193
1153,0.013056028482765986
1145,0.012462611838357219
1189,0.011896166896279387
1210,0.01135546775103509
1249,0.010839344216423772
1288,0.01034667929301369
1330,0.009876406750721175
1372,0.009427508821265416
1420,0.008999013995504731
1411,0.008589994920887285
1423,0.008199566394465951
1441,0.007826883447133713
1471,0.007471139514933542
1491,0.007131564693485056
1520,0.006807424071750186
1536,0.006498016141531758
1515,0.006202671279262826
1604,0.005920750296801015
1596,0.005651643058091504
1660,0.005394767158704814
1720,0.005149566665391628
1750,0.004915510912926805
1762,0.004692093355638686
1757,0.004478830471138153
1781,0.00427526071387492
1820,0.004080943516256276
1883,0.003895458335166546
1938,0.003718403741823704
1972,0.0035493965530034055
1975,0.0033880710017502344
1995,0.0032340779457814004
2023,0.00308708411186971
2088,0.0029467713745705004
2154,0.002812836067731542
2183,0.002684988327295886
2237,0.0025629514639753273
2282,0.0024464613644368366
2319,0.0023352659197059876
2320,0.002229124479550329
2343,0.0021278073316618805
2398,0.002031095204511583
2465,0.0019387787927997839
2499,0.0018506583044757274
2522,0.0017665430283457123
2569,0.0016862509213341223
2641,0.0016096082145040823
2692,0.001536449036985082
2727,0.0014666150569936714
2791,0.0013999551391703168
2868,0.001336325017490829
2877,0.0012755869830444692
