,0
19,0.18583187851075778
20,0.17738553283101333
20,0.16932308659798087
20,0.1616270909893207
20,0.15428089025859792
21,0.14726858568875842
21,0.14057500118397542
24,0.13418565042539923
25,0.1280867055197292
28,0.12226496707275633
29,0.11670783562310952
29,0.11140328437438221
32,0.10633983316662594
33,0.10150652363087971
35,0.09689289547296422
39,0.0924889638352144
41,0.08828519768715609
46,0.08427249919835977
49,0.08044218404882997
53,0.07678596263431786
56,0.07329592212588137
61,0.06996450934486605
69,0.06678451441624435
75,0.06374905516493605
81,0.06085156222133983
86,0.058085764803841505
90,0.055445677147529196
91,0.05292558554974431
97,0.0505200360044323
102,0.04822382239853114
110,0.04603197524485229
112,0.0439397509270695
113,0.041942621433539586
120,0.04003626455773677
124,0.03821655454409252
127,0.036479553158996314
133,0.034821501167633266
138,0.033238810198212586
148,0.031728054975979456
149,0.030285965910203015
152,0.02890942201809721
163,0.027595444170360337
169,0.026341188643715263
176,0.025143940966496636
178,0.024001110043965625
182,0.022910222550638234
182,0.021868917577490876
182,0.020874941522458768
187,0.019926143213169052
188,0.0190204692513532
188,0.018155959568863067
191,0.0173307431856729
194,0.016543034160686663
208,0.015791127726587452
212,0.01507339660036395
215,0.014388287461529144
215,0.013734317590409464
224,0.013110071659228832
221,0.012514198669042933
228,0.011945409025894511
230,0.011402471749861948
234,0.010884211810960885
230,0.010389507586133218
227,0.00991728843181988
229,0.009466532366863928
233,0.009036263860729261
245,0.008625551722248223
233,0.008233507084328866
239,0.007859281480260397
240,0.0075020650074534975
253,0.007161084574641486
247,0.006835602228748897
246,0.006524913557806452
257,0.006228346166456026
267,0.00594525822074625
254,0.005675037059069414
267,0.005417097866233424
270,0.005170882407799228
283,0.004935857821944583
277,0.004711515466239443
279,0.004497369816837222
285,0.004292957417699486
293,0.004097835877580017
302,0.003911582912597497
295,0.003733795432324743
303,0.003564088667416589
296,0.003402095336888438
302,0.0032474648532432814
303,0.0030998625637269233
311,0.0029589690260693313
320,0.0028244793171446504
327,0.002696102373053697
328,0.0025735603592007147
341,0.0024565880690011178
338,0.002344932349918892
342,0.002238351555591486
330,0.0021366150228564686
343,0.002039502572548131
345,0.0019468040329836589
364,0.001858318785107586
